# 일상 주제 목록 (한글,영어)
# 형식: 한글주제,영어프롬프트
# 총 3000개

# ========== 음식/카페 (600개) ==========
아침 식사,breakfast table morning meal
넘치는 에너지,overflowing energy vibrant
열정적인 하루,passionate day enthusiastic
의욕 넘치는,motivated feeling driven
집중하는 시간,focusing time concentrated
몰입하는 순간,immersed moment flow
깨달음의 순간,moment of realization insight
영감 받는,inspired feeling creative
창의적인 기분,creative feeling artistic
상상력 발휘,imagination at work creative
아이디어 떠오름,idea coming up creative
번뜩이는 생각,brilliant idea flash
문득 든 생각,sudden thought random
깊은 생각,deep thinking contemplation
명상하는 시간,meditating time mindful
내면의 평화,inner peace calm
마음의 안정,mental stability peace
정신적 휴식,mental rest relaxation
심신 안정,mind body relaxation
재충전 시간,recharging time refresh
힐링 시간,healing time recovery
치유의 시간,time of healing recovery
위로받는 느낌,comforted feeling soothed
격려받는 느낌,encouraged feeling supported
응원받는 느낌,cheered feeling supported
사랑받는 느낌,loved feeling cherished
소속감,sense of belonging community
연결된 느낌,connected feeling bond
함께하는 기쁨,joy of togetherness shared
나누는 행복,sharing happiness giving
베푸는 마음,generous heart giving
친절한 마음,kind heart gentle
다정한 마음,affectionate heart warm
배려하는 마음,considerate heart caring
이해하는 마음,understanding heart empathy
공감하는 마음,empathetic heart feeling
위로하는 마음,comforting heart soothing
격려하는 마음,encouraging heart supportive

# ========== 장소/공간 (400개) ==========
우리 집,my home house cozy
거실,living room sofa comfortable
침실,bedroom bed sleep
주방,kitchen cooking food
화장실,bathroom toilet sink
베란다,balcony veranda outdoor
옥상,rooftop terrace sky view
마당,yard garden outdoor
현관,entrance doorway home
복도,hallway corridor passage
계단,stairs steps climbing
엘리베이터,elevator lift building
지하실,basement underground storage
다락방,attic room upstairs
서재,study room books desk
작업실,studio workspace creative
드레스룸,dressing room closet clothes
세탁실,laundry room washing
창고,storage room warehouse
차고,garage car parking
사무실,office workplace desk
회의실,meeting room conference
휴게실,break room lounge relax
탕비실,pantry room office kitchen
카페테리아,cafeteria dining food
로비,lobby entrance building
복합 공간,multipurpose space area
코워킹 스페이스,coworking space shared office
공유 오피스,shared office workspace
카페,cafe coffee shop cozy
커피숍,coffee shop barista drink
북카페,book cafe reading coffee
브런치 카페,brunch cafe food morning
디저트 카페,dessert cafe sweet treats
베이커리 카페,bakery cafe bread pastry
로스터리 카페,roastery cafe coffee beans
테라스 카페,terrace cafe outdoor seating
루프탑 카페,rooftop cafe sky view
한옥 카페,hanok cafe traditional korean
정원 카페,garden cafe green plants
갤러리 카페,gallery cafe art exhibition
음악 카페,music cafe live performance
레코드 카페,record cafe vinyl music
고양이 카페,cat cafe pets cute
강아지 카페,dog cafe pets friendly
식물 카페,plant cafe green botanical
꽃 카페,flower cafe floral beautiful
레스토랑,restaurant dining fine
한식당,korean restaurant traditional food
일식당,japanese restaurant sushi
중식당,chinese restaurant noodles
양식당,western restaurant steak
이탈리안,italian restaurant pasta pizza
프렌치,french restaurant fine dining
태국 음식점,thai restaurant spicy food
베트남 음식점,vietnamese restaurant pho
인도 음식점,indian restaurant curry
멕시칸,mexican restaurant taco
퓨전 레스토랑,fusion restaurant creative
오마카세,omakase chef selection
비스트로,bistro casual dining
펍,pub beer bar casual
바,bar cocktail drinks night
와인바,wine bar elegant drinks
칵테일바,cocktail bar mixology drinks
루프탑 바,rooftop bar city view night
호텔 바,hotel bar lounge elegant
재즈바,jazz bar live music
라운지,lounge relax upscale
클럽,club dancing nightlife
노래방,karaoke singing room
포차,korean tent bar pojangmacha
이자카야,izakaya japanese pub
호프집,beer pub korean
치킨집,chicken restaurant korean
분식집,korean snack restaurant
김밥집,kimbap restaurant quick meal
국밥집,soup rice restaurant korean
백반집,korean home meal restaurant
정식집,set meal restaurant korean
횟집,raw fish restaurant seafood
고깃집,meat restaurant bbq
삼겹살집,pork belly restaurant
갈비집,rib restaurant korean bbq
곱창집,intestine restaurant korean
닭갈비집,chicken galbi restaurant
찜닭집,braised chicken restaurant
보쌈집,bossam restaurant pork
냉면집,cold noodle restaurant
칼국수집,knife noodle restaurant
만두집,dumpling restaurant korean
떡볶이집,tteokbokki restaurant snack
순대집,sundae blood sausage restaurant
족발집,pig feet restaurant
감자탕집,pork bone soup restaurant
해장국집,hangover soup restaurant
설렁탕집,ox bone soup restaurant
추어탕집,loach soup restaurant
삼계탕집,ginseng chicken soup restaurant
콩나물국밥집,bean sprout soup restaurant
순두부집,soft tofu restaurant
전집,korean pancake restaurant
막걸리집,rice wine restaurant traditional
전통찻집,traditional tea house
떡집,rice cake shop korean
제과점,bakery pastry shop
빵집,bread shop bakery
케이크 가게,cake shop dessert
아이스크림 가게,ice cream shop frozen
초콜릿 가게,chocolate shop sweet
젤라또 가게,gelato shop italian ice cream
마카롱 가게,macaron shop french dessert
도넛 가게,donut shop fried dough
크레페 가게,crepe shop french pancake
와플 가게,waffle shop breakfast
팬케이크 가게,pancake shop breakfast
공원,park outdoor green nature
놀이터,playground children swings
산책로,walking trail path
자전거 도로,bike path cycling
조깅 코스,jogging course running
분수대,fountain water feature
벤치,bench sitting outdoor
잔디밭,lawn grass field green
꽃밭,flower bed garden colorful
정원,garden plants landscaping
식물원,botanical garden plants
온실,greenhouse plants warm
숲,forest trees nature
숲길,forest trail hiking path
등산로,hiking trail mountain
계곡,valley stream mountain
폭포,waterfall nature scenic
호수,lake water calm
강,river flowing water
바다,ocean sea beach
해변,beach sandy shore
모래사장,sandy beach shore
갯벌,mud flat tidal
항구,harbor port boats
등대,lighthouse coastal beacon
포구,fishing port harbor
선착장,dock pier boarding
요트장,yacht marina boats
해안도로,coastal road scenic drive
전망대,observation deck view point
스카이라인,skyline city view
야경 명소,night view spot city lights
일출 명소,sunrise spot morning view
일몰 명소,sunset spot evening view
산 정상,mountain peak summit
능선,ridge mountain hiking
암벽,rock wall climbing
동굴,cave underground exploration
협곡,canyon gorge valley
들판,field meadow open
초원,grassland prairie green
목장,ranch farm pastoral
농장,farm agricultural rural
과수원,orchard fruit trees
포도밭,vineyard grape farm
논,rice paddy field
밭,field farming crop
시골길,country road rural
마을,village town rural
전통 마을,traditional village heritage
한옥마을,hanok village korean
올레길,olle trail jeju walking
둘레길,dulle trail surrounding path
해파랑길,haeparang trail coastal
지리산 둘레길,jirisan trail mountain
제주 올레,jeju olle trail island
도심,downtown city center urban
번화가,busy street commercial
명동,myeongdong shopping district
강남,gangnam district modern
홍대,hongdae university area trendy
이태원,itaewon international district
성수동,seongsu dong hipster area
연남동,yeonnam dong cafe street
익선동,ikseon dong hanok street
을지로,euljiro retro industrial
북촌,bukchon hanok village traditional
삼청동,samcheong dong galleries
인사동,insadong traditional crafts
광화문,gwanghwamun palace area
경복궁,gyeongbokgung palace royal
창덕궁,changdeokgung palace garden
덕수궁,deoksugung palace stone wall
남산타워,namsan tower seoul landmark
한강공원,hangang park riverside
여의도,yeouido island business
잠실,jamsil area stadium
코엑스,coex convention mall
롯데타워,lotte tower landmark tall
동대문,dongdaemun market fashion
남대문,namdaemun market traditional
노량진,noryangjin fish market
가로수길,garosu gil tree lined street
청담동,cheongdam dong luxury
압구정,apgujeong upscale area
신사동,sinsa dong fashion
서촌,seochon village artistic
망원동,mangwon dong local vibe
합정,hapjeong area trendy
상수,sangsu cafe street
연희동,yeonhui dong residential quiet

# ========== 쇼핑/패션 (200개) ==========
쇼핑하기,shopping buying things
옷 쇼핑,clothes shopping fashion
신발 쇼핑,shoe shopping footwear
가방 쇼핑,bag shopping accessories
악세서리 쇼핑,accessory shopping jewelry
화장품 쇼핑,cosmetics shopping beauty
향수 쇼핑,perfume shopping fragrance
시계 쇼핑,watch shopping timepiece
안경 쇼핑,glasses shopping eyewear
모자 쇼핑,hat shopping headwear
스카프 쇼핑,scarf shopping accessory
장갑 쇼핑,gloves shopping winter
양말 쇼핑,socks shopping essentials
속옷 쇼핑,underwear shopping basics
운동복 쇼핑,sportswear shopping athletic
수영복 쇼핑,swimwear shopping summer
잠옷 쇼핑,pajamas shopping sleepwear
정장 쇼핑,suit shopping formal
원피스 쇼핑,dress shopping feminine
청바지 쇼핑,jeans shopping denim
티셔츠 쇼핑,t-shirt shopping casual
니트 쇼핑,knit shopping sweater
코트 쇼핑,coat shopping outerwear
자켓 쇼핑,jacket shopping layering
패딩 쇼핑,padding shopping winter coat
후드티 쇼핑,hoodie shopping casual
맨투맨 쇼핑,sweatshirt shopping cozy
블라우스 쇼핑,blouse shopping elegant
셔츠 쇼핑,shirt shopping classic
카디건 쇼핑,cardigan shopping layering
조끼 쇼핑,vest shopping layering
반바지 쇼핑,shorts shopping summer
치마 쇼핑,skirt shopping feminine
슬랙스 쇼핑,slacks shopping formal
레깅스 쇼핑,leggings shopping comfortable
트레이닝복 쇼핑,tracksuit shopping athletic
가디건 쇼핑,cardigan shopping knitwear
베스트 쇼핑,vest shopping layering
점퍼 쇼핑,jumper shopping casual
야상 쇼핑,field jacket shopping military
트렌치코트,trench coat shopping classic
롱코트 쇼핑,long coat shopping elegant
숏코트 쇼핑,short coat shopping cropped
무스탕 쇼핑,shearling coat shopping warm
가죽자켓,leather jacket shopping edgy
데님자켓,denim jacket shopping casual
봄버자켓,bomber jacket shopping trendy
바시티자켓,varsity jacket shopping sporty
플리스자켓,fleece jacket shopping cozy
윈드브레이커,windbreaker shopping light
레인코트,raincoat shopping waterproof
신발 구경,looking at shoes footwear
운동화 쇼핑,sneakers shopping athletic
구두 쇼핑,dress shoes shopping formal
로퍼 쇼핑,loafers shopping classic
슬리퍼 쇼핑,slippers shopping comfort
샌들 쇼핑,sandals shopping summer
부츠 쇼핑,boots shopping fall winter
앵클부츠,ankle boots shopping trendy
롱부츠,long boots shopping tall
워커 쇼핑,walker shoes shopping rugged
스니커즈 쇼핑,sneakers shopping street
플랫슈즈,flat shoes shopping comfortable
하이힐 쇼핑,high heels shopping elegant
웨지힐,wedge heels shopping comfortable
키높이 신발,height increasing shoes
쿠션 신발,cushioned shoes comfortable
런닝화,running shoes athletic
등산화,hiking boots outdoor
축구화,soccer cleats sports
농구화,basketball shoes sports
테니스화,tennis shoes sports
골프화,golf shoes sports
볼링화,bowling shoes sports
슬립온,slip on shoes easy
스니커즈,sneakers casual shoes
캔버스화,canvas shoes casual
명품 쇼핑,luxury shopping designer
빈티지 쇼핑,vintage shopping retro
중고 쇼핑,secondhand shopping thrift
세일 쇼핑,sale shopping discount
아울렛 쇼핑,outlet shopping bargain
온라인 쇼핑,online shopping delivery
해외직구,overseas shopping import
면세점 쇼핑,duty free shopping
백화점 쇼핑,department store shopping
편집샵 쇼핑,select shop shopping
SPA 브랜드,fast fashion shopping
디자이너 브랜드,designer brand shopping
스트리트 브랜드,streetwear shopping
스포츠 브랜드,sports brand shopping
캐주얼 브랜드,casual brand shopping
럭셔리 브랜드,luxury brand shopping
친환경 패션,eco fashion sustainable
비건 패션,vegan fashion ethical
업사이클링 패션,upcycled fashion creative
핸드메이드 패션,handmade fashion artisan
맞춤 정장,custom suit tailored
맞춤 셔츠,custom shirt tailored
맞춤 구두,custom shoes bespoke

# ========== 건강/운동 (200개) ==========
아침 운동,morning exercise workout
저녁 운동,evening exercise workout
홈트레이닝,home training workout
헬스장 운동,gym workout fitness
웨이트 트레이닝,weight training strength
유산소 운동,cardio exercise aerobic
근력 운동,strength training muscle
스트레칭,stretching flexibility warm up
요가 수련,yoga practice mindful
필라테스 수업,pilates class core
명상 시간,meditation time mindful
호흡 운동,breathing exercise relax
걷기 운동,walking exercise outdoor
조깅 운동,jogging exercise running
러닝 운동,running exercise cardio
마라톤 훈련,marathon training long run
사이클링,cycling exercise bike
수영 운동,swimming exercise pool
아쿠아로빅,aqua aerobics water
등산 운동,hiking exercise mountain
클라이밍 운동,climbing exercise bouldering
크로스핏,crossfit training intense
에어로빅,aerobics exercise dance
줌바 댄스,zumba dance workout
스피닝,spinning cycling indoor
복싱 운동,boxing exercise combat
킥복싱,kickboxing exercise martial
태권도 수련,taekwondo martial arts
유도 수련,judo martial arts
검도 수련,kendo martial arts
합기도 수련,hapkido martial arts
무에타이,muay thai martial arts
주짓수,jiu jitsu martial arts
MMA 트레이닝,mma training mixed martial
골프 연습,golf practice swing
테니스 운동,tennis exercise racket
배드민턴 운동,badminton exercise shuttle
탁구 운동,table tennis exercise paddle
스쿼시 운동,squash exercise racket
볼링 운동,bowling exercise ball
당구 운동,billiards exercise pool
양궁 연습,archery practice bow
사격 연습,shooting practice target
승마 운동,horse riding equestrian
스키 운동,skiing exercise winter
스노보드 운동,snowboarding winter
스케이트,skating ice rink
인라인,inline skating outdoor
서핑 운동,surfing exercise wave
다이빙,diving water sports
카약 운동,kayaking water paddle
조정 운동,rowing exercise boat
윈드서핑,windsurfing water sports
패러글라이딩,paragliding adventure
번지점프,bungee jumping thrill
스카이다이빙,skydiving adventure
식단 관리,diet management healthy eating
칼로리 계산,calorie counting diet
단백질 섭취,protein intake nutrition
탄수화물 조절,carb control diet
저염식,low sodium diet healthy
저당식,low sugar diet healthy
채식 식단,vegetarian diet plant based
비건 식단,vegan diet plant only
키토 식단,keto diet low carb
간헐적 단식,intermittent fasting diet
다이어트 식단,diet meal plan weight loss
벌크업 식단,bulking diet muscle gain
영양제 섭취,supplement intake vitamins
프로틴 섭취,protein shake workout
비타민 섭취,vitamin intake health
오메가3 섭취,omega 3 intake health
유산균 섭취,probiotics intake gut health
콜라겐 섭취,collagen intake skin health
마그네슘 섭취,magnesium intake health
아연 섭취,zinc intake immune health
철분 섭취,iron intake blood health
칼슘 섭취,calcium intake bone health
수면 관리,sleep management rest
숙면 취하기,getting good sleep rest
기상 시간 관리,wake time management routine
낮잠 취하기,taking nap rest
피로 회복,fatigue recovery rest
스트레스 관리,stress management mental health
멘탈 케어,mental care wellbeing
마음 관리,mind care mental health
심신 안정,mind body relaxation
건강 검진,health checkup medical
혈압 체크,blood pressure check
혈당 체크,blood sugar check
체지방 체크,body fat check
근육량 체크,muscle mass check
BMI 체크,bmi check body index
콜레스테롤 체크,cholesterol check
체온 체크,temperature check health
맥박 체크,pulse check heart rate
심전도 검사,ecg test heart
초음파 검사,ultrasound test
MRI 검사,mri scan test
CT 검사,ct scan test
X선 검사,x ray test

# ========== 자연/풍경 (200개) ==========
푸른 하늘,blue sky clear sunny
맑은 하늘,clear sky bright sunny
구름 풍경,cloud scenery sky
뭉게구름,cumulus clouds fluffy
새털구름,cirrus clouds wispy
비구름,rain clouds dark
노을 하늘,sunset sky orange pink
일출 풍경,sunrise scenery morning
일몰 풍경,sunset scenery evening
달빛 풍경,moonlight scenery night
별빛 풍경,starlight scenery night
은하수 풍경,milky way stars galaxy
오로라 풍경,aurora northern lights
무지개 풍경,rainbow scenery colorful
안개 풍경,fog scenery misty
이슬 맺힌,dewdrops morning fresh
서리 내린,frost covered cold morning
눈 덮인,snow covered winter white
얼음 풍경,ice scenery frozen winter
봄 풍경,spring scenery blooming
여름 풍경,summer scenery green
가을 풍경,autumn scenery colorful
겨울 풍경,winter scenery snowy
벚꽃 풍경,cherry blossom spring pink
단풍 풍경,autumn leaves colorful
낙엽 풍경,fallen leaves autumn
은행나무 풍경,ginkgo trees yellow autumn
소나무 풍경,pine trees green evergreen
대나무 숲,bamboo forest green
자작나무 숲,birch forest white trees
메타세쿼이아,metasequoia tree road
플라타너스,plane tree lined road
산 풍경,mountain scenery peaks
능선 풍경,ridge scenery mountain
계곡 풍경,valley scenery stream
폭포 풍경,waterfall scenery flowing
호수 풍경,lake scenery calm water
연못 풍경,pond scenery peaceful
강 풍경,river scenery flowing
시냇물 풍경,stream scenery babbling
바다 풍경,ocean scenery vast
해변 풍경,beach scenery sandy
파도 풍경,wave scenery ocean
조개껍데기,seashells beach sand
갯바위 풍경,rocky shore ocean
절벽 풍경,cliff scenery dramatic
동굴 풍경,cave scenery underground
사막 풍경,desert scenery sandy
오아시스 풍경,oasis scenery desert
초원 풍경,meadow scenery green grass
들판 풍경,field scenery open
꽃밭 풍경,flower field colorful
해바라기밭,sunflower field yellow
라벤더밭,lavender field purple
튤립밭,tulip field colorful
유채꽃밭,canola field yellow
억새밭,silver grass field autumn
코스모스밭,cosmos flower field pink
장미정원,rose garden romantic
수국정원,hydrangea garden blue pink
철쭉동산,azalea hill spring pink
연꽃 풍경,lotus flower pond
수련 풍경,water lily pond
억새 풍경,silver grass autumn
갈대 풍경,reed field water
대나무 풍경,bamboo scenery green
이끼 풍경,moss covered green
고사리 풍경,fern forest green
야자수 풍경,palm trees tropical
선인장 풍경,cactus desert plants
다육식물,succulent plants cute
공기정화 식물,air purifying plants indoor
관엽식물,foliage plants green indoor
화분 식물,potted plants indoor
창가 식물,window plants sunlight
베란다 정원,balcony garden plants
옥상 정원,rooftop garden urban
실내 정원,indoor garden plants
테라리움,terrarium mini garden
아쿠아리움,aquarium fish tank
분재 나무,bonsai tree miniature
정원 조경,garden landscaping design
돌담 풍경,stone wall traditional
오솔길,narrow path trail
징검다리,stepping stones path
나무 그늘,tree shade cool
숲속 오두막,cabin in forest retreat
전원 풍경,rural scenery pastoral
시골 풍경,countryside scenery
농촌 풍경,farming village rural
어촌 풍경,fishing village coastal
산촌 풍경,mountain village remote
섬 풍경,island scenery ocean
갯벌 풍경,tidal flat scenery mudflat
습지 풍경,wetland scenery marsh
저수지 풍경,reservoir scenery water
댐 풍경,dam scenery water
다리 풍경,bridge scenery crossing
터널 풍경,tunnel scenery passage
도로 풍경,road scenery path
고속도로 풍경,highway scenery driving
